,Unnamed: 0,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
20,20,2010-07,5119203.0,2411334.0,2707869.0,19.50967741935484,14.49677419354839,24.319354838709685,8.316129032258065,0.8129032258064516,2.2322580645161296,1.2129032258064514,2010-07,5119203.0,2411334.0,2707869.0,19.50967741935484,14.49677419354839,24.31935483870969,8.316129032258065,0.8129032258064516,2.23225806451613,1.212903225806451,2001-09,3719690,1857773,1861917,13.91,10.953333333333331,16.983333333333334,3.656666666666666,3.5800000000000005,5.866666666666665,1.8633333333333328
21,21,2010-08,5058056.0,2688839.0,2369217.0,17.012903225806454,13.238709677419356,20.76129032258065,5.503225806451612,2.3741935483870966,6.361290322580646,2.812903225806452,2010-08,5058056.0,2688839.0,2369217.0,17.01290322580645,13.23870967741936,20.76129032258065,5.503225806451612,2.374193548387097,6.361290322580646,2.812903225806452,2001-10,3376995,1724265,1652730,14.516129032258066,11.69032258064516,17.532258064516128,3.664516129032258,1.335483870967742,1.4999999999999998,0.6516129032258065
22,22,2011-07,5627276.0,2668554.0,2958722.0,15.900000000000002,11.95806451612903,19.70645161290323,5.619354838709678,2.9225806451612906,5.029032258064517,1.1870967741935483,2011-07,5627276.0,2668554.0,2958722.0,15.9,11.95806451612903,19.70645161290323,5.619354838709678,2.922580645161291,5.029032258064517,1.187096774193548,2001-11,2730083,1370081,1360002,8.083333333333334,5.180000000000001,10.583333333333334,1.8633333333333333,3.353333333333333,3.806666666666666,1.153333333333333
23,23,2011-08,5540569.0,2904186.0,2636383.0,16.76774193548387,12.670967741935485,20.75161290322581,4.851612903225807,1.8967741935483868,3.9903225806451608,1.9161290322580644,2011-08,5540569.0,2904186.0,2636383.0,16.76774193548387,12.67096774193548,20.75161290322581,4.851612903225807,1.896774193548387,3.990322580645161,1.916129032258064,2001-12,2652554,1292913,1359641,3.751612903225807,0.6129032258064517,6.32258064516129,2.0806451612903225,3.1419354838709674,2.941935483870968,0.8225806451612904
24,24,2012-07,5759003.0,2713559.0,3045444.0,17.280645161290323,13.16774193548387,21.34516129032258,6.825806451612904,2.17741935483871,5.087096774193547,2.0161290322580645,2012-07,5759003.0,2713559.0,3045444.0,17.28064516129032,13.16774193548387,21.34516129032258,6.825806451612904,2.17741935483871,5.087096774193547,2.016129032258065,2002-01,2636649,1336776,1299873,4.638709677419354,2.470967741935484,6.916129032258064,2.4838709677419355,2.4838709677419355,2.283870967741935,0.8419354838709678
25,25,2012-08,5671424.0,2971537.0,2699887.0,18.487096774193542,14.203225806451613,23.125806451612902,7.22258064516129,1.106451612903226,3.870967741935483,1.5483870967741935,2012-08,5671424.0,2971537.0,2699887.0,18.48709677419354,14.20322580645161,23.1258064516129,7.22258064516129,1.106451612903226,3.870967741935483,1.548387096774194,2002-02,2667372,1312182,1355190,7.192857142857143,4.4,9.592857142857143,4.053571428571429,3.675,4.500000000000001,1.2785714285714287
26,26,2013-07,5934128.0,2804005.0,3130123.0,19.170967741935485,14.55161290322581,23.600000000000005,8.429032258064517,0.4645161290322581,0.9870967741935486,0.4709677419354838,2013-07,5934128.0,2804005.0,3130123.0,19.17096774193548,14.55161290322581,23.6,8.429032258064517,0.4645161290322581,0.9870967741935486,0.4709677419354838,2002-03,3249398,1634148,1615250,7.474193548387097,3.867741935483872,11.019354838709678,5.403225806451613,1.2161290322580645,1.1225806451612903,0.4161290322580646
27,27,2013-08,5942981.0,3106009.0,2836972.0,18.4741935483871,13.387096774193548,23.338709677419352,8.016129032258064,0.4612903225806451,0.5806451612903226,0.3935483870967742,2013-08,5942981.0,3106009.0,2836972.0,18.4741935483871,13.38709677419355,23.33870967741935,8.016129032258064,0.4612903225806451,0.5806451612903226,0.3935483870967742,2002-04,3411882,1650092,1761790,9.563333333333327,5.043333333333333,13.81,6.12,1.9866666666666664,1.82,0.5366666666666666
28,28,2014-07,6070119.0,2841054.0,3229065.0,19.63225806451613,15.13225806451613,24.34193548387097,7.361290322580645,1.574193548387097,4.051612903225808,1.4451612903225806,2014-07,6070119.0,2841054.0,3229065.0,19.63225806451613,15.13225806451613,24.34193548387097,7.361290322580645,1.574193548387097,4.051612903225808,1.445161290322581,2002-05,3863240,1953393,1909847,13.351612903225806,9.325806451612902,17.29032258064516,6.419354838709678,1.4032258064516128,1.5806451612903225,0.5645161290322581
29,29,2014-08,6261369.0,3272798.0,2988571.0,16.35483870967742,12.348387096774193,20.477419354838705,6.293548387096774,2.280645161290322,5.025806451612904,2.109677419354838,2014-08,6261369.0,3272798.0,2988571.0,16.35483870967742,12.34838709677419,20.47741935483871,6.293548387096774,2.280645161290322,5.025806451612904,2.109677419354838,2002-06,3814245,1878689,1935556,16.339999999999996,12.166666666666668,20.43666666666667,6.566666666666666,1.3333333333333333,1.9066666666666667,0.846666666666667
