,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
99,,,,,,,,,,,,,,,,,,,,,,,2008-04,4156519,1986749,2169770,8.93666666666667,4.646666666666667,13.47333333333333,6.336666666666668,1.033333333333333,1.06,0.38
100,,,,,,,,,,,,,,,,,,,,,,,2008-05,4713826,2414857,2298969,15.66129032258065,10.38709677419355,20.20645161290322,9.206451612903226,1.138709677419355,1.838709677419355,0.8129032258064517
101,,,,,,,,,,,,,,,,,,,,,,,2008-06,4704148,2314121,2390027,16.39333333333334,11.57333333333333,20.73,8.133333333333335,0.5166666666666667,0.7,0.4166666666666667
102,,,,,,,,,,,,,,,,,,,,,,,2008-07,5175950,2474763,2701187,18.15483870967742,13.97096774193548,22.34838709677419,6.293548387096774,2.351612903225807,4.554838709677418,1.751612903225806
103,,,,,,,,,,,,,,,,,,,,,,,2008-08,5025767,2655629,2370138,17.61290322580645,14.0483870967742,21.29032258064516,5.409677419354838,1.361290322580645,3.00967741935484,1.758064516129032
104,,,,,,,,,,,,,,,,,,,,,,,2008-09,4600637,2298267,2302370,14.16666666666667,10.33666666666667,17.95,5.116666666666666,1.28,1.153333333333333,0.5333333333333333
105,,,,,,,,,,,,,,,,,,,,,,,2008-10,4560314,2311797,2248517,10.40645161290323,6.235483870967742,13.87741935483871,4.048387096774194,2.629032258064516,3.438709677419355,1.012903225806451
106,,,,,,,,,,,,,,,,,,,,,,,2008-11,3443549,1736355,1707194,7.273333333333331,4.52,9.509999999999998,1.943333333333334,2.903333333333333,2.843333333333334,0.7933333333333332
107,,,,,,,,,,,,,,,,,,,,,,,2008-12,3333873,1632437,1701436,2.664516129032258,-0.2419354838709678,5.399999999999999,2.716129032258065,1.574193548387097,1.32258064516129,0.4677419354838709
108,,,,,,,,,,,,,,,,,,,,,,,2009-01,3072606,1564965,1507641,1.216129032258064,-1.712903225806452,4.032258064516129,3.27741935483871,2.129032258064516,1.529032258064516,0.5096774193548387
109,,,,,,,,,,,,,,,,,,,,,,,2009-02,2891262,1432485,1458777,3.328571428571428,0.4999999999999999,5.975,1.792857142857143,2.739285714285714,1.571428571428571,0.5249999999999999
110,,,,,,,,,,,,,,,,,,,,,,,2009-03,3390581,1719615,1670966,6.41290322580645,2.7,10.00322580645161,5.058064516129032,1.625806451612903,1.238709677419355,0.4516129032258064
111,,,,,,,,,,,,,,,,,,,,,,,2009-04,3888685,1886896,2001789,11.89,6.516666666666668,17.17666666666667,7.726666666666667,0.8033333333333333,0.4733333333333333,0.2333333333333333
112,,,,,,,,,,,,,,,,,,,,,,,2009-05,4173577,2122143,2051434,13.67096774193548,8.719354838709679,18.10322580645161,8.412903225806453,1.732258064516129,4.041935483870968,2.096774193548387
113,,,,,,,,,,,,,,,,,,,,,,,2009-06,4130139,2073981,2056158,15.63333333333334,10.69666666666667,20.23333333333333,8.370000000000001,1.146666666666667,1.776666666666667,0.9566666666666668
114,,,,,,,,,,,,,,,,,,,,,,,2009-07,4851476,2275515,2575961,18.21935483870968,13.97096774193548,22.70645161290322,8.083870967741936,1.461290322580645,2.787096774193549,1.403225806451613
115,,,,,,,,,,,,,,,,,,,,,,,2009-08,4811406,2553928,2257478,18.86774193548387,13.63225806451613,23.79677419354838,7.416129032258063,0.6,1.006451612903225,0.5258064516129032
116,,,,,,,,,,,,,,,,,,,,,,,2009-09,4322719,2170571,2152148,15.48666666666666,11.54,19.41666666666667,5.046666666666666,0.7600000000000001,1.176666666666666,0.4166666666666667
117,,,,,,,,,,,,,,,,,,,,,,,2009-10,4274814,2164348,2110466,11.11935483870968,7.387096774193548,14.61935483870968,3.706451612903226,1.37741935483871,1.929032258064516,1.029032258064516
118,,,,,,,,,,,,,,,,,,,,,,,2009-11,3355439,1695362,1660077,9.390000000000002,6.293333333333335,11.95666666666667,1.576666666666666,2.89,3.87,1.29
